Index,Chinese,Pingyin,English
1,爱,ài,to love
2,八,bā,eight
3,爸爸,bà ba,(informal) father
4,杯子,bēi zi,cup
5,北京,Běi jīng,Beijing
6,本,běn,roots or stems of plants
7,不客气,bù kè qi,you're welcome
8,不,bù,(negative prefix)
9,菜,cài,dish (type of food)
10,茶,chá,tea
11,吃,chī,to eat
12,出租车,chū zū chē,taxi
13,打电话,dǎ diàn huà,to make a telephone call
14,大,dà,big
15,的,de,of
16,点,diǎn,point
17,电脑,diàn nǎo,computer
18,电视,diàn shì,television
19,电影,diàn yǐng,movie
20,东西,dōng xi,thing
21,都,dōu,all
22,读,dú,to read
23,对不起,duì bu qǐ,unworthy
24,多,duō,many
25,多少,duō shao,how much
26,儿子,ér zi,son
27,二,èr,two
28,饭馆,fàn guǎn,restaurant
29,飞机,fēi jī,airplane
30,分钟,fēn zhōng,minute
31,高兴,gāo xìng,happy
32,个,gè,variant of 個|个[gè]
33,工作,gōng zuò,to work
34,狗,gǒu,dog
35,汉语,Hàn yǔ,Chinese language
36,好,hǎo,good
37,喝,hē,to drink
38,和,hé,and
39,很,hěn,(adverb of degree)
40,后面,hòu mian,rear
41,回,huí,to curve
42,会,huì,can
43,火车站,huǒ chē zhàn,train station
44,几,jǐ,how much
45,家,jiā,home
46,叫,jiào,to shout
47,今天,jīn tiān,today
48,九,jiǔ,nine
49,开,kāi,to open
50,看,kàn,to see
51,看见,kàn jiàn,to see
52,块,kuài,lump (of earth)
53,来,lái,to come
54,老师,lǎo shī,teacher
55,了,le,(modal particle intensifying preceding clause)
56,冷,lěng,cold
57,里,lǐ,li (Chinese mile)
58,零,líng,zero
59,六,liù,six
60,妈妈,mā ma,mama
61,吗,ma,(question tag)
62,买,mǎi,to buy
63,猫,māo,cat
64,没,méi,(negative prefix for verbs)
65,没关系,méi guān xi,it doesn't matter
66,米饭,mǐ fàn,(cooked) rice
67,明天,míng tiān,tomorrow
68,名字,míng zi,name (of a person or thing)
69,哪,nǎ,how
70,那,nà,that
71,呢,ne,particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?"
72,能,néng,to be able to
73,你,nǐ,you (informal
74,年,nián,year
75,女儿,nǚ ér,daughter
76,朋友,péng you,friend
77,漂亮,piào liang,pretty
78,苹果,píng guǒ,apple
79,七,qī,seven
80,钱,qián,coin
81,前面,qián miàn,ahead
82,请,qǐng,to ask
83,去,qù,to go
84,热,rè,to warm up
85,人,rén,man
86,认识,rèn shi,to know
87,日,rì,sun
88,三,sān,three
89,商店,shāng diàn,store
90,上,shàng,on top
91,上午,shàng wǔ,morning
92,少,shǎo,few
93,谁,shéi,who
94,什么,shén me,what?
95,十,shí,ten
96,时候,shí hou,time
97,是,shì,is
98,书,shū,book
99,水,shuǐ,water
100,水果,shuǐ guǒ,fruit
101,睡觉,shuì jiào,to go to bed
102,说话,shuō huà,to speak
103,四,sì,four
104,岁,suì,classifier for years (of age)
105,他,tā,he or him
106,她,tā,she
107,太,tài,highest
108,天气,tiān qì,weather
109,听,tīng,to listen
110,同学,tóng xué,to study at the same school
111,喂,wèi,to feed
112,我,wǒ,I
113,我们,wǒ men,we
114,五,wǔ,five
115,喜欢,xǐ huan,to like
116,下,xià,down
117,下午,xià wǔ,afternoon
118,下雨,xià yǔ,to rain
119,先生,xiān sheng,teacher
120,现在,xiàn zài,now
121,想,xiǎng,to think
122,小,xiǎo,small
123,小姐,xiǎo jie,young lady
124,些,xiē,some
125,写,xiě,to write
126,谢谢,xiè xie,to thank
127,星期,xīng qī,week
128,学生,xué sheng,student
129,学习,xué xí,to learn
130,学校,xué xiào,school
131,一,yī,one
132,衣服,yī fu,clothes
133,医生,yī shēng,doctor
134,医院,yī yuàn,hospital
135,椅子,yǐ zi,chair
136,有,yǒu,to have
137,月,yuè,moon
138,在,zài,(located) at
139,再见,zài jiàn,goodbye
140,怎么,zěn me,variant of 怎麼|怎么[zěn me]
141,怎么样,zěn me yàng,how?
142,这,zhè,this
143,中国,Zhōng guó,China
144,中午,zhōng wǔ,noon
145,住,zhù,to live
146,桌子,zhuō zi,table
147,字,zì,letter
148,昨天,zuó tiān,yesterday
149,坐,zuò,to sit
150,做,zuò,to do
